CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
034,Historic Parishes of England and Wales - Sheets 104-118,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.

",Disc 4 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
035,Historic Parishes of England and Wales - Sheets 119-132,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.

",Disc 5 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
036,Historic Parishes of England and Wales - Sheets 133-147,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.

",Disc 6 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
037,Historic Parishes of England and Wales - Sheets 148-160,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.",Disc 7 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
038,Historic Parishes of England and Wales - Sheets 161-175,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.",Disc 8 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
039,Historic Parishes of England and Wales - Sheets 176-190,"The Electronic Map covers the whole of England and Wales, and is organised by Ordnance Survey Sheet number. The map consists of scanned bitmap images of the Ordnance Survey one inch to the mile (1:63,360) New Popular Edition maps (1945-8) with National Grid. It contains the boundaries of some 18,233 places, and is arranged as three electronic 'layers'. The first is a scan of the Ordnance Survey maps stored as grey tone sheet images. This enables Ordnance Survey physical, cultural and place-name content to be readily visible in the background for orientation and general location purposes, while not obscuring the added boundary and reference number material. The second layer consists of the boundaries, stored as solid red lines; and the third layer contains the reference numbers that link places on the map to the gazetteer/metadata dataset that accompanies the maps.The maps are available on CD-ROM in Adobe Illustrator? v.6 (?45 plus P&P) or Adobe Acrobat PDF? (?15 plus P&P). Adobe Illustrator format is recommended if you already have the software (as it enables you to edit the maps and select the layers to view). However, the Adobe Acrobat PDF format is perfectly suitable for viewing the maps, and the the necessary reader software will be supplied.",Disc 9 of 9,,"Restricted to U of T faculty, staff, and students.","Kain, R.J. and R.R. Oliver",,2001,ENGLAND; WALES,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; GAZETTEERS; HISTORICAL; MAPS; METADATA; PHYSIOGRAPHY; PLACENAMES,,,,Historic Data Service,,Vector,,2001,,Colchester,,Historic Data Service,Citation,None,,1945 to 1948
040,Mississauga Orthophoto Mosaic - 2003,,,,"Restricted to U of T faculty, staff, and students.",Airborne Sensing Corporation,,2002,MISSISSAUGA,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED,,,,,,Raster,,,,,,Airborne Sensing Corporation,Citation,Signed,,2002
042,Toronto Orthophotos,"Black and white TIFF images covering the city of Toronto.

Toronto Digital Orthophotos, City of Toronto 1997
Source: Metro Toronto Land Information Services 
Scale: 1:5,000 (approx.) 
Format: tiff images 
Access: University of Toronto faculty, students, and staff, for academic research and teaching only.

","See also CD # 055, 056, 059",,"Restricted to U of T faculty, staff, and students.",Metro Toronto Land Information Services,,1997,ETOBICOKE; ONTARIO; SCARBOROUGH; TORONTO,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE - ORTHORECTIFIED,1997,,Metro Toronto Land Information Services,"City of Toronto, Land Information Toronto",,Raster,NAD27,,,Toronto,MTM Zone 10,"Land Information Toronto, City of Toronto",Citation,None,1 pixel = 1 metre,1997
043,Goad Atlas of Toronto 1884 (Fire Insurance Plans),,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
044,Goad Atlas of Toronto 1890 (Fire Insurance Plans),,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
045,Goad Atlas of Toronto 1892 (Fire Insurance Plans),,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
046,Goad Atlas of Toronto 1893 (Fire Insurance Plans),,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
047,Goad Atlas of Toronto 1899 (Fire Insurance Plans),,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
048,Goad Atlas of Toronto 1910 (Fire Insurance Plans),,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
049,Canada. Cities. Census Tracts. 1971 & 1981.,,,,"Restricted to U of T faculty, staff, and students.",Statistics Canada,,1971 Jan 1st,CANADA (ENTITY),BOUNDARIES; CENSUS,1971,,Statistics Canada,,1981 Jan 1st,Raster,,,,,,,Citation,None,,
050,Geographical Information Systems,"Since the publication of the First Edition of Geographical Information Systems in 1991, the ""Big Book"" of GIS has become the definitive work on the science, application and practice of GIS. This new, Abridged Second Edition of Geographical Information Systems brings this definitive reference to a whole new audience with a streamlined format including 24 diverse chapters, a new chapter by the editors covering recent developments in GIS, and the full text of the Second Edition of Geographical Information Systems, 72 chapters in all, on the accompanying CD-ROM in searchable PDF format.",,,"Restricted to U of T faculty, staff, and students.","Longley, P.A. & M.Goodchild, D. McGuire & D.Rhind",,2005,,GEOGRAPHIC INFORMATION SYSTEMS,,,,John Wiley & Sons,,Data,,2005 [abridged] 2nd edition,,"Hoboken, New Jersey",,John Wiley & Sons,Citation,None,,
